trial_number,batch_size,bidirectional,conv_channels,conv_kernels,epochs,head_dropout,head_hidden,learning_rate,lstm_dropout,lstm_hidden,lstm_layers,value,state
0,128,True,"[64, 128]","[9, 5]",8,0.2604766617486068,256,0.0030232212507370266,0.18402444639295135,197,1,0.08447512308829626,TrialState.COMPLETE
1,256,True,"[64, 128]","[5, 5]",12,0.29497349728754013,256,0.0012852804363454602,0.17562110002064618,101,2,0.07583335395315348,TrialState.COMPLETE
2,256,False,"[64, 96]","[9, 5]",8,0.030718209208063705,128,0.0003136842886976774,0.16303933952285998,252,1,0.0950400092238103,TrialState.COMPLETE
3,128,False,"[64, 128]","[7, 5]",15,0.1976812058982217,256,0.00048628926001737226,0.035019325728632596,99,2,0.08802332132771448,TrialState.COMPLETE
4,512,True,"[96, 128]","[9, 5]",13,0.2607412037228299,,0.0010040332464414277,0.2987876740917444,142,2,0.07703850253069641,TrialState.COMPLETE
5,128,True,"[64, 128]","[9, 5]",10,0.04029707012620035,,0.0001841216322408121,0.049693002526202686,216,2,0.0900351000098025,TrialState.COMPLETE
6,256,False,"[96, 128]","[5, 5]",15,0.09675604361302693,,0.003025450120645062,0.19339868211551936,209,1,0.06690175998918836,TrialState.COMPLETE
7,128,False,"[96, 128]","[5, 5]",13,0.24897645622233097,,0.00011176826382831887,0.13777726273171903,244,1,0.10161706027461948,TrialState.COMPLETE
8,512,False,"[96, 128]","[9, 5]",11,0.075710327118723,128,0.0010863033714301688,0.2137757981043772,74,1,0.08869479824149931,TrialState.COMPLETE
9,512,True,"[64, 96]","[7, 5]",12,0.12936298787836073,,0.00019526867546791033,0.12913921449685659,77,1,0.11176418767597096,TrialState.COMPLETE
10,256,False,"[96, 128]","[5, 5]",19,0.11968888354711994,,0.004688239836825167,0.2528704680216254,172,1,0.06325553412737653,TrialState.COMPLETE
11,256,False,"[96, 128]","[5, 5]",19,0.12313319954952799,,0.004888467607116593,0.2514479857463519,168,1,0.0769329229695077,TrialState.COMPLETE
12,256,False,"[96, 128]","[5, 5]",20,0.08572572080931803,,0.0020200591945076364,0.25193150332242187,163,1,0.06295366962710446,TrialState.COMPLETE
13,256,False,"[96, 128]","[5, 5]",19,0.17835829536763909,,0.002081264634649254,0.29578937670717603,150,1,0.07096629691535122,TrialState.COMPLETE
14,256,False,"[96, 128]","[5, 5]",17,0.004564380670067342,,0.004779429364960898,0.24384709068854604,173,1,0.06344652565631327,TrialState.COMPLETE
15,256,False,"[96, 128]","[5, 5]",20,0.16954986567688207,128,0.0017722313952222,0.09107597695087516,133,1,0.06745806237849256,TrialState.COMPLETE
16,256,False,"[64, 96]","[5, 5]",17,0.06305468838666453,,0.003153315346027519,0.25214185387877497,180,1,0.07755385180953311,TrialState.COMPLETE
17,256,False,"[96, 128]","[7, 5]",17,0.10673121329411243,,0.0005918587618943444,0.23761887107362475,125,2,0.07527542800528257,TrialState.COMPLETE
18,256,False,"[96, 128]","[5, 5]",20,0.15041719228072153,256,0.001854269917852876,0.27078115523655233,191,1,0.07988381361858685,TrialState.COMPLETE
19,512,False,"[64, 96]","[5, 5]",18,0.20623080770817226,128,0.0034372159302052127,0.20931559136929861,225,1,0.07565250681193168,TrialState.COMPLETE
20,256,False,"[96, 128]","[7, 5]",15,0.07314712522811732,,0.002070120259152842,0.08080934465921923,157,2,0.07759255826724715,TrialState.COMPLETE
21,256,False,"[96, 128]","[5, 5]",17,0.007994646315640966,,0.0049427982035170235,0.22745249527171585,167,1,0.06399699124001058,TrialState.COMPLETE
22,256,False,"[96, 128]","[5, 5]",18,0.0018780197901004936,,0.004970187885559372,0.2719115910117565,175,1,0.07292614460835757,TrialState.COMPLETE
23,256,False,"[96, 128]","[5, 5]",19,0.03838461919379398,,0.0034848476563936735,7.356673412212134e-05,119,1,0.06781257192106872,TrialState.COMPLETE
24,256,False,"[96, 128]","[5, 5]",16,0.09418091380195726,,0.0025350199668766117,0.2729328529628777,188,1,0.0814874511450817,TrialState.COMPLETE
