trial_number,max_depth,n_estimators,value,state
0,20,497,0.012878673918458145,TrialState.COMPLETE
1,8,341,0.1836481185571713,TrialState.COMPLETE
2,20,943,0.012546516643551888,TrialState.COMPLETE
3,,529,0.0035700214979123507,TrialState.COMPLETE
4,8,493,0.18350708585301512,TrialState.COMPLETE
5,8,458,0.18356847318765754,TrialState.COMPLETE
6,16,323,0.04340819265580049,TrialState.COMPLETE
7,8,984,0.18301706188746944,TrialState.COMPLETE
8,20,490,0.012207409218870207,TrialState.COMPLETE
9,20,758,0.01287297602551393,TrialState.COMPLETE
10,,697,0.0035984138808076217,TrialState.COMPLETE
11,,671,0.0035352680985578123,TrialState.COMPLETE
12,,639,0.003479124376332733,TrialState.COMPLETE
13,12,815,0.10903316303572072,TrialState.COMPLETE
14,,622,0.0034727183426948235,TrialState.COMPLETE
15,,592,0.0034913167235066478,TrialState.COMPLETE
16,,853,0.0033829074910545626,TrialState.COMPLETE
17,12,861,0.10951424067285602,TrialState.COMPLETE
18,16,849,0.043239401525769515,TrialState.COMPLETE
19,,753,0.0037138993870598803,TrialState.COMPLETE
20,,915,0.0035607868899057726,TrialState.COMPLETE
21,,604,0.003385187007379367,TrialState.COMPLETE
22,,594,0.003565369608421292,TrialState.COMPLETE
23,,728,0.0035086497493880676,TrialState.COMPLETE
24,,576,0.003532903614148344,TrialState.COMPLETE
25,12,422,0.10894107414635823,TrialState.COMPLETE
26,,655,0.0034288483188316494,TrialState.COMPLETE
27,16,814,0.042675716211576245,TrialState.COMPLETE
28,,713,0.0035812779423752736,TrialState.COMPLETE
29,,401,0.00367264487220725,TrialState.COMPLETE
