trial_number,batch_size,bidirectional,dropout,epochs,hidden_size,learning_rate,num_layers,temporal_pool,value,state
0,128,False,0.1923855114223755,10,252,6.27731279666917e-05,3,mean,0.9172413793103448,TrialState.COMPLETE
1,32,False,0.16100126685503768,24,136,0.0009645050663063173,1,mean,0.9724137931034482,TrialState.COMPLETE
2,64,False,0.11940726987705788,10,231,0.0004964833601555112,3,last,0.9793103448275862,TrialState.COMPLETE
3,128,True,0.275155599542049,25,106,0.00011540308430172183,1,max,0.6344827586206897,TrialState.COMPLETE
4,128,True,0.0814574433950563,25,235,0.0002531004654994415,1,last,0.9793103448275862,TrialState.COMPLETE
5,128,False,0.11372024261014733,29,156,0.00014077685782810427,1,max,0.8551724137931035,TrialState.COMPLETE
6,64,False,0.1070339969149654,20,137,6.63551380770428e-05,1,max,0.5862068965517241,TrialState.COMPLETE
7,128,True,0.12324389000635724,12,200,0.0015422404624289012,2,max,0.9586206896551724,TrialState.COMPLETE
8,32,True,0.03323218856639155,18,179,0.0007348097167446164,1,last,0.9862068965517241,TrialState.COMPLETE
9,64,True,0.15246398792096505,14,240,0.0008118083910533626,1,last,0.9862068965517241,TrialState.COMPLETE
10,32,True,0.0021981294669396745,17,86,0.0025667592303920193,2,last,0.993103448275862,TrialState.COMPLETE
11,32,True,0.0020458628223560373,17,70,0.0019981186851374833,2,last,0.993103448275862,TrialState.COMPLETE
12,32,True,0.00930953929352878,16,67,0.002991509606637912,2,last,0.9793103448275862,TrialState.COMPLETE
13,32,True,0.052066934651919666,16,65,0.0027116604065483864,2,last,0.993103448275862,TrialState.COMPLETE
14,32,True,0.01981682189800062,21,94,0.001605099546727505,2,last,0.9655172413793104,TrialState.COMPLETE
15,32,True,0.06763102381744417,20,93,0.0016646686787202694,3,last,0.9862068965517241,TrialState.COMPLETE
16,32,True,0.0024841691976709717,15,113,0.00036699614068953643,2,mean,1.0,TrialState.COMPLETE
17,32,True,0.224863997726488,14,120,0.00038523956294832007,2,mean,1.0,TrialState.COMPLETE
18,32,True,0.2451109361210576,13,121,0.00030883417325534753,2,mean,1.0,TrialState.COMPLETE
19,32,True,0.2110200134083911,14,166,0.00018503355082974624,3,mean,0.9586206896551724,TrialState.COMPLETE
