trial_number,batch_size,dense_units,dropout,epochs,filters,kernel_size,learning_rate,pool_size,value,state
0,32,127,0.15758885685321034,19,"[6, 12, 24]",7,0.000840875009712395,2,0.9310344827586207,TrialState.COMPLETE
1,32,106,0.1251032534358951,13,"[6, 12, 24]",7,0.0004068837309671673,3,0.4206896551724138,TrialState.COMPLETE
2,32,64,0.08804430727265956,23,"[6, 12]",9,0.000547703026972008,3,0.43448275862068964,TrialState.COMPLETE
3,128,236,0.286606548295182,12,"[6, 12, 24]",7,0.0008876069695958307,3,0.33793103448275863,TrialState.COMPLETE
4,128,230,0.23287972186774566,11,"[6, 12, 24]",9,0.00013472726706964988,2,0.33793103448275863,TrialState.COMPLETE
5,32,84,0.020473206439167356,22,"[6, 12]",7,0.0002411693519250473,2,0.4206896551724138,TrialState.COMPLETE
6,128,206,0.14132548172430295,27,"[6, 12, 24]",9,0.000555040981312001,3,0.4206896551724138,TrialState.COMPLETE
7,64,86,0.12950507456764135,29,"[6, 12, 24]",9,0.002048472166374641,3,0.9517241379310345,TrialState.COMPLETE
8,64,120,0.19488902456172727,30,"[6, 12]",9,0.000881203756596535,3,0.5172413793103449,TrialState.COMPLETE
9,128,152,0.20761830798994976,20,"[6, 12]",7,0.0013337829397488115,3,0.33793103448275863,TrialState.COMPLETE
10,64,182,0.03853901481697679,30,"[6, 12, 24]",5,0.0023445869935141074,2,0.9379310344827586,TrialState.COMPLETE
11,64,189,0.002057125829356951,30,"[6, 12, 24]",5,0.0027736012422953714,2,0.9517241379310345,TrialState.COMPLETE
12,64,172,0.0745667341600981,26,"[6, 12, 24]",5,0.002992003369241421,2,0.9517241379310345,TrialState.COMPLETE
13,64,148,0.0076409138683625945,26,"[6, 12, 24]",5,5.019040591063851e-05,2,0.33793103448275863,TrialState.COMPLETE
14,64,198,0.07260211501753305,28,"[6, 12, 24]",5,0.0017939179822970377,3,0.5448275862068965,TrialState.COMPLETE
15,64,253,0.28687392325496697,24,"[6, 12, 24]",9,0.0029884944060211294,2,0.9517241379310345,TrialState.COMPLETE
16,64,87,0.10232619225022821,17,"[6, 12, 24]",5,0.0014212192497477982,3,0.33793103448275863,TrialState.COMPLETE
17,64,201,0.03918763032204649,30,"[6, 12, 24]",5,0.000204777323257686,2,0.33793103448275863,TrialState.COMPLETE
18,64,132,0.18493485565536022,16,"[6, 12]",9,0.0018068810702417443,2,0.9448275862068966,TrialState.COMPLETE
19,64,168,0.24416820488257407,25,"[6, 12, 24]",5,0.0011604160481774623,3,0.3310344827586207,TrialState.COMPLETE
