Task,Dataset,Model,Explainer,Metric,Value
Regression,lux_generation_2015_clean,LinearRegressor,feature_ablation,RMSE,-0.013745715841650963
Regression,lux_generation_2015_clean,LinearRegressor,feature_ablation,Pixel Flipping,0.13173998786452212
Regression,lux_generation_2015_clean,LinearRegressor,feature_ablation,Faithfulness Correlation,-0.9761904761904762
Regression,lux_generation_2015_clean,LinearRegressor,feature_ablation,Continuity,-0.13391304347826083
Regression,lux_generation_2015_clean,LinearRegressor,feature_ablation,Average Sensitivity,-3.5926149394861415
Regression,lux_generation_2015_clean,LinearRegressor,feature_ablation,Sparseness (Elem),0.5816272346239135
Regression,lux_generation_2015_clean,LinearRegressor,occlusion,RMSE,-0.013745715841650963
Regression,lux_generation_2015_clean,LinearRegressor,occlusion,Pixel Flipping,0.13565851374675408
Regression,lux_generation_2015_clean,LinearRegressor,occlusion,Faithfulness Correlation,-0.9047619047619048
Regression,lux_generation_2015_clean,LinearRegressor,occlusion,Continuity,-0.006956521739130417
Regression,lux_generation_2015_clean,LinearRegressor,occlusion,Average Sensitivity,-1.3599295448483775
Regression,lux_generation_2015_clean,LinearRegressor,occlusion,Sparseness (Elem),0.5732114431296542
Regression,lux_generation_2015_clean,LinearRegressor,tabular_ablation,RMSE,-0.013745715841650963
Regression,lux_generation_2015_clean,LinearRegressor,tabular_ablation,Pixel Flipping,0.1371245568221338
Regression,lux_generation_2015_clean,LinearRegressor,tabular_ablation,Faithfulness Correlation,-0.9285714285714286
Regression,lux_generation_2015_clean,LinearRegressor,tabular_ablation,Continuity,-0.050434782608695716
Regression,lux_generation_2015_clean,LinearRegressor,tabular_ablation,Average Sensitivity,-1.4588526014672842
Regression,lux_generation_2015_clean,LinearRegressor,tabular_ablation,Sparseness (Elem),0.5746495470518842
Regression,lux_generation_2015_clean,LinearRegressor,lime_tabular,RMSE,-0.013745715841650963
Regression,lux_generation_2015_clean,LinearRegressor,lime_tabular,Pixel Flipping,0.13013552357906943
Regression,lux_generation_2015_clean,LinearRegressor,lime_tabular,Faithfulness Correlation,-0.9523809523809523
Regression,lux_generation_2015_clean,LinearRegressor,lime_tabular,Continuity,-0.032173913043478275
Regression,lux_generation_2015_clean,LinearRegressor,lime_tabular,Average Sensitivity,-3.877181698383985e-08
